Attack_fleet = 28
Defend_fleet = 23
Attacker, Defender, attack damage, defender's health
ObjectId('5278052e6f94c119c081eedb') , ObjectId('5278052e6f94c119c081f051') , 746, 754
ObjectId('5278052e6f94c119c081eee7') , ObjectId('5278052e6f94c119c081f05d') , 621, 879
ObjectId('5278052e6f94c119c081eef3') , ObjectId('5278052e6f94c119c081f069') , 837, 663
ObjectId('5278052e6f94c119c081eeff') , ObjectId('5278052e6f94c119c081f075') , 593, 907
ObjectId('5278052e6f94c119c081ef0b') , ObjectId('5278052e6f94c119c081f081') , 1934, -434
ObjectId('5278052e6f94c119c081ef17') , ObjectId('5278052e6f94c119c081f08d') , 1603, -103
ObjectId('5278052e6f94c119c081ef23') , ObjectId('5278052e6f94c119c081f099') , 428, 1072
ObjectId('5278052e6f94c119c081ef2f') , ObjectId('5278052e6f94c119c081f0a5') , 2238, -738
ObjectId('5278052e6f94c119c081ef3b') , ObjectId('5278052e6f94c119c081f0b1') , 553, 947
ObjectId('5278052e6f94c119c081ef47') , ObjectId('5278052e6f94c119c081f0bd') , 768, 732
ObjectId('5278052e6f94c119c081ef53') , ObjectId('5278052e6f94c119c081f0c9') , 580, 920
ObjectId('5278052e6f94c119c081ef5f') , ObjectId('5278052e6f94c119c081f0d5') , 670, 830
ObjectId('5278052e6f94c119c081ef6b') , ObjectId('5278052e6f94c119c081f0e1') , 1091, 409
ObjectId('5278052e6f94c119c081ef77') , ObjectId('5278052e6f94c119c081f0ed') , 483, 1017
ObjectId('5278052e6f94c119c081ef83') , ObjectId('5278052e6f94c119c081f0f9') , 1605, -105
ObjectId('5278052e6f94c119c081ef8f') , ObjectId('5278052e6f94c119c081f105') , 588, 912
ObjectId('5278052e6f94c119c081ef9b') , ObjectId('5278052e6f94c119c081f111') , 410, 1090
ObjectId('5278052e6f94c119c081efa7') , ObjectId('5278052e6f94c119c081f11d') , 619, 881
ObjectId('5278052e6f94c119c081efb3') , ObjectId('5278052e6f94c119c081f129') , 1396, 104
ObjectId('5278052e6f94c119c081efbf') , ObjectId('5278052e6f94c119c081f135') , 467, 1033
ObjectId('5278052e6f94c119c081efcb') , ObjectId('5278052e6f94c119c081f141') , 1067, 433
ObjectId('5278052e6f94c119c081efd7') , ObjectId('5278052e6f94c119c081f14d') , 698, 802
ObjectId('5278052e6f94c119c081efe3') , ObjectId('5278052e6f94c119c081f159') , 2223, -723
